trade_id,side,entry_id,level_snapshot,trend_mode_at_entry,exit_reason,horizon_bars,horizon_minutes,available,close_at_h,close_ret_pct_at_h,profitable_at_h,adverse_at_h,flat_at_h,max_favorable_pct_to_h,max_adverse_pct_to_h,min_close_ret_pct_to_h,max_close_ret_pct_to_h,ended_profit,ended_loss,pnl_abs,pnl_pct
218,short,RevShort,0,-2,Reverse TP Channel,12,180,True,61400.0,1.4951717393177244,True,False,False,2.5861046907389595,0.6628540699098685,-0.028909723212655614,1.913881431952169,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,24,360,True,60720.01,2.586088647607321,True,False,False,2.5861046907389595,0.6628540699098685,-0.028909723212655614,2.586088647607321,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,48,720,True,60600.01,2.7786062272698864,True,False,False,3.4682202407528555,0.6628540699098685,-0.028909723212655614,3.1541919820599285,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,96,1440,True,60763.58,2.516188723058166,True,False,False,4.48721578990685,0.6628540699098685,-0.028909723212655614,4.045660677819097,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,192,2880,True,60930.27,2.248765761775229,True,False,False,4.48721578990685,0.6628540699098685,-0.028909723212655614,4.045660677819097,True,False,370.7932372831621,3.593373344517148
219,long,Long1,1,0,MFEProtect L1,1,15,True,58504.92,-0.3654831705907746,False,True,False,0.10132914892200262,0.40603186026863336,-0.3654831705907746,-0.3654831705907746,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,2,30,True,58586.89,-0.22588736660528186,False,True,False,0.10132914892200262,0.6855129800936739,-0.3654831705907746,-0.22588736660528186,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,4,60,True,58979.12,0.4420846011540025,True,False,False,0.4421016312630543,0.6855129800936739,-0.3654831705907746,0.4420846011540025,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,8,120,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,12,180,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,24,360,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,48,720,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,96,1440,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
219,long,Long1,1,0,MFEProtect L1,192,2880,False,,,,,,,,,,False,True,-2.286790796332817,-0.1689557120092777
