group,trade_count,win_rate,loss_rate,avg_pnl_abs,median_pnl_abs,avg_pnl_pct,median_pnl_pct,avg_bars_held,median_bars_held,avg_hold_hours,avg_underwater_hours,median_underwater_hours,avg_underwater_ratio,avg_max_consecutive_underwater_hours,avg_max_adverse_pct,median_max_adverse_pct,avg_max_favorable_pct,median_max_favorable_pct,first_move_adverse_rate,first_move_favorable_rate,material_adverse_0p5_rate,material_favorable_0p5_rate,avg_minutes_to_max_adverse,avg_minutes_to_max_favorable,side,entry_id,level_snapshot,exit_reason
,35,0.6857142857142857,0.3142857142857143,3.142297152624998,6.810654819480192,0.08991644683595301,0.1249969082910862,33.77142857142857,21.0,8.442857142857143,3.092857142857143,1.5,0.3184659753713214,2.0785714285714283,0.7114901694737155,0.5704140504058872,1.2284223184098026,1.0625518357318307,0.05714285714285714,0.0,0.5142857142857142,1.0,197.57142857142858,419.14285714285717,,,,MFEProtect S2
,3,0.6666666666666666,0.3333333333333333,0.647801043997348,3.863997545069393,0.0564595002865431,0.1439634630659547,34.333333333333336,15.0,8.583333333333334,0.4166666666666667,0.25,0.03790849673202614,0.4166666666666667,0.6604097449878427,0.685828252458582,2.1630812770882177,2.785787792081614,0.0,0.0,0.6666666666666666,1.0,155.0,440.0,,,,MFEProtect S3
,4,1.0,0.0,22.054719083187116,17.620518491864736,0.20129394684141874,0.22040805108304304,19.0,20.0,4.75,0.875,0.25,0.2125,0.875,0.6920068049336374,0.4662478874166812,1.2445460482666109,1.1926475127248415,0.0,0.0,0.5,1.0,48.75,198.75,,,,MFEProtect TrendLong
,7,0.42857142857142855,0.5714285714285714,-45.49130992541694,-44.41835745798736,-0.3313462728784617,-0.3207779441179448,16.428571428571427,12.0,4.107142857142857,1.3928571428571428,0.75,0.374488256841198,1.3214285714285716,1.127470549677324,0.9080820889971913,2.2355503010729807,2.1133172449928828,0.0,0.0,1.0,1.0,72.85714285714286,150.0,,,,MFEProtect TrendShort
,36,0.0,1.0,-33.94342034465529,-24.192187078651738,-1.6436274645300517,-1.5494622816671466,96.0,96.0,24.0,21.86111111111111,23.0,0.9108796296296295,18.0625,3.132145572938538,3.1582962758548785,0.4293424603072887,0.3949142006364148,0.027777777777777776,0.0,1.0,0.3888888888888889,931.25,238.75,,,,NoProgress L1
,2,0.0,1.0,-65.58621203984775,-65.58621203984775,-1.3682368231851927,-1.3682368231851927,96.0,96.0,24.0,18.25,18.25,0.7604166666666667,13.75,2.656593888660902,2.656593888660902,0.5208773172171042,0.5208773172171042,0.0,0.0,1.0,0.5,1350.0,135.0,,,,NoProgress L2
,58,0.0,1.0,-32.40206896261527,-23.876137108148434,-1.3934995669398607,-1.2647042520705698,96.01724137931035,96.0,24.004310344827584,21.685344827586206,23.125,0.9033801398269938,18.185344827586206,2.428921041342668,2.4058287378513254,0.38972524401564673,0.3647075461181759,0.15517241379310345,0.0,1.0,0.3103448275862069,910.0862068965517,246.72413793103448,,,,NoProgress S1
,6,0.0,1.0,-54.51014850411076,-25.216121929646064,-1.032519173958992,-0.6404610345723538,96.0,96.0,24.0,21.166666666666668,21.25,0.8819444444444445,15.541666666666666,2.2153004699310967,2.035848448238719,0.4489158624192977,0.4594824056590748,0.0,0.0,1.0,0.3333333333333333,907.5,500.0,,,,NoProgress S2
,36,0.1388888888888889,0.8611111111111112,-33.20535852755098,-20.10748630677172,-2.4149086981105383,-1.70175511402732,23.47222222222222,11.5,5.868055555555555,5.506944444444445,2.75,0.867570947704567,5.194444444444445,3.198378055670887,2.1669527365060146,0.3642956432478642,0.3048444522358208,0.027777777777777776,0.0,0.8888888888888888,0.19444444444444445,332.5,54.166666666666664,,,,OutsideStop Long1
,9,0.0,1.0,-146.47758112055018,-153.15697264045605,-3.1514403813569833,-2.967814398116808,34.22222222222222,31.0,8.555555555555555,7.555555555555555,7.5,0.869250525510777,6.861111111111112,3.725924040859047,3.9196240359893317,0.408662090041323,0.38684690769580954,0.2222222222222222,0.0,1.0,0.3333333333333333,476.6666666666667,85.0,,,,OutsideStop Long2
,3,0.0,1.0,-62.88391543949614,-57.75594406223324,-1.7315349213239408,-1.691424424970711,9.333333333333334,10.0,2.3333333333333335,1.8333333333333333,2.0,0.8051282051282053,1.6666666666666667,2.2460992770428074,2.3239958957924527,0.3553280430668373,0.42440934924551366,0.0,0.0,1.0,0.3333333333333333,135.0,15.0,,,,OutsideStop Long3
,34,0.14705882352941177,0.8529411764705882,-24.28764344215831,-12.842009689036498,-1.7111547732826857,-1.0619591180170862,19.91176470588235,6.0,4.977941176470589,4.4411764705882355,1.375,0.8199039180045852,4.029411764705882,2.181309386224765,1.3844257699173785,0.2970495706331328,0.22227654865993096,0.08823529411764706,0.0,0.7647058823529411,0.14705882352941177,288.97058823529414,44.11764705882353,,,,OutsideStop Short1
,10,0.0,1.0,-122.6821101104395,-117.07991190578775,-2.5784121532229753,-2.5538536026631027,36.8,32.5,9.2,8.425,8.125,0.9237016592315799,7.575,3.0425817294312276,2.8559029724348353,0.24534896056712827,0.2825568938620971,0.1,0.0,1.0,0.0,544.5,69.0,,,,OutsideStop Short2
